TARGET  ID	Name	SMILES	Task
L1001 0	201	CCOC(=O)N(C)Cc1c(C(=O)O)n(Cc2cccc3ccccc23)c2ccc(F)cc12	PA
L1002 0	293	CCc1ccc2c(CCNC(C)=O)c([C@@H](C3=C(O)[C@@H](c4ccccc4)CC3=O)c3ccccc3)[nH]c2c1	PA
L1003 0	843	Cc1c(S(=O)(=O)Nc2ccc(-c3ccncc3)cc2C(F)(F)F)sc2ccc(F)cc12	PA
L1004 0	124	CC(C)c1c([C@@H](C2=C(O)[C@@H](C(C)C)NC2=O)c2ccccc2)[nH]c2ccc(F)cc12	PA
L1005 0	868	COC(=O)NCc1c(C(=O)O)n(Cc2cccc3ccccc23)c2ccc(F)cc12	PA
L1006 0	646	CC(=O)NC(C)(C)Cc1c([C@@H](C2=C(O)[C@](C)(c3ccc(C)cc3)C2=O)c2ccccc2)[nH]c2cc(C)ccc12	PA
L1007 0	092	C[C@]1(c2ccccc2)C(=O)C([C@@H](c2ccccc2)c2ccc3ccccc3c2)=C1O	PA
L1008 0	994	Cc1ccc2sc([C@@H](C3=C(O)[C@](C)(c4ccccc4)C3=O)c3ccccc3)c(C)c2c1	PA
L1009 0	LIG	Cc1c([C@@H](C2=C(O)[C@@H](Cc3ccccc3)OC2=O)c2ccccc2)[nH]c2ccc(F)cc12	PA
L1010 0	362	O=C(O)c1cc2ccccc2n1Cc1cccc2ccc(F)cc12	PA
L1011 0	852	CN(C)C(=O)Cc1c(C(=O)O)n(Cc2cccc3ccccc23)c2ccc(F)cc12	PA
L1012 0	LIG	COC(=O)c1ccc(NS(=O)(=O)c2sc3ccc(F)cc3c2C)c(S(C)(=O)=O)c1	PA
L1013 0	075	COCCn1c(C(=O)O)c(Cc2cccc3ccccc23)c2ccccc21	PA
L1014 0	592	Cc1cccc2cccc(Cn3c(C(=O)O)cc4ccccc43)c12	PA
L1015 0	125	Cc1c(S(=O)(=O)Nc2ccc(-c3ccncc3)cc2S(C)(=O)=O)sc2ccc(F)cc12	PA
L1016 0	979	CN(C)C(=O)Cc1c(C(=O)O)n(Cc2csc3ccc(F)cc23)c2ccccc12	PA
L1017 0	043	CS(=O)(=O)NCc1c(C(=O)O)n(Cc2cccc3ccccc23)c2ccc(F)cc12	PA
